country,location_name,year,month,temperature_celsius,wind_mps,pressure_pa,precip_mm,humidity,cloud,uv_index,air_quality_PM2.5,air_quality_PM10
Lithuania,Vilnius,2025,9,15.2,4.181481481481481,102080.0,0.04933333333333334,80.7,49.166666666666664,1.6666666666666667,12.652,17.035666666666668
Lithuania,Vilnius,2025,10,6.838709677419355,4.148745519713262,101151.6129032258,0.1625806451612903,91.80645161290323,52.74193548387097,0.43548387096774194,9.562903225806451,11.533870967741937
Lithuania,Vilnius,2025,11,2.396666666666667,3.1722222222222225,101456.66666666667,0.053,95.36666666666666,72.16666666666667,0.09000000000000001,12.726666666666667,15.18
Lithuania,Vilnius,2025,12,0.8870967741935484,3.7688172043010755,101732.25806451614,0.02,92.2258064516129,83.93548387096774,0.0,12.130645161290323,14.101612903225806
Lithuania,Vilnius,2026,1,-10.75,3.4509259259259264,101250.0,0.08600000000000001,86.26666666666667,60.0,0.016666666666666666,11.623333333333333,12.733333333333333
Lithuania,Vilnius,2026,2,-15.883333333333333,3.092592592592593,101783.33333333333,0.03,84.33333333333333,54.166666666666664,0.13333333333333333,10.216666666666667,11.216666666666667
Luxembourg,Luxembourg,2024,5,16.564705882352943,4.392156862745098,101164.70588235294,0.3458823529411765,67.3529411764706,56.588235294117645,3.7058823529411766,1.9352941176470588,2.076470588235294
Luxembourg,Luxembourg,2024,6,18.92758620689655,4.10823754789272,101427.58620689655,0.26,63.724137931034484,44.827586206896555,4.275862068965517,2.951724137931034,3.658620689655172
Luxembourg,Luxembourg,2024,7,21.375,3.916666666666667,101550.0,0.1285714285714286,63.25,36.392857142857146,5.071428571428571,3.667857142857143,4.264285714285714
Luxembourg,Luxembourg,2024,8,23.04516129032258,3.881720430107527,101606.45161290323,0.1254838709677419,62.193548387096776,31.774193548387096,5.903225806451613,5.541935483870968,6.696774193548387
Luxembourg,Luxembourg,2024,9,16.616666666666667,4.782407407407407,101526.66666666667,0.07933333333333333,75.73333333333333,42.5,4.366666666666666,10.690666666666667,14.625833333333333
Luxembourg,Luxembourg,2024,10,11.625806451612902,3.39247311827957,101703.2258064516,0.05741935483870968,89.06451612903226,51.903225806451616,1.429032258064516,16.62016129032258,21.639032258064514
Luxembourg,Luxembourg,2024,11,5.586666666666667,3.4824074074074076,102140.0,0.049,90.26666666666667,58.6,0.44,27.225833333333334,34.64433333333333
Luxembourg,Luxembourg,2024,12,3.270967741935484,4.014336917562725,102270.96774193548,0.034516129032258064,89.2258064516129,66.25806451612904,0.34516129032258064,21.865806451612904,26.896612903225805
Luxembourg,Luxembourg,2025,1,2.3838709677419354,4.223118279569892,101580.64516129032,0.21096774193548387,88.29032258064517,62.70967741935484,0.4612903225806452,22.969838709677422,27.22483870967742
Luxembourg,Luxembourg,2025,2,2.5535714285714284,3.488095238095238,102264.28571428571,0.007857142857142858,82.60714285714286,45.892857142857146,0.7535714285714287,26.725892857142856,30.214464285714286
Luxembourg,Luxembourg,2025,3,7.490322580645161,3.664874551971326,101651.6129032258,0.0012903225806451613,65.6774193548387,25.0,1.6451612903225807,30.31016129032258,35.52596774193549
Luxembourg,Luxembourg,2025,4,11.246666666666666,4.478703703703704,101713.33333333333,0.10466666666666667,67.33333333333333,28.333333333333332,2.143333333333333,18.8145,21.9225
Luxembourg,Luxembourg,2025,5,14.648387096774194,4.483870967741935,101732.25806451614,0.07419354838709677,59.96774193548387,25.0,3.041935483870968,13.457258064516129,17.54516129032258
Luxembourg,Luxembourg,2025,6,18.9,4.371296296296296,101923.33333333333,0.04766666666666666,70.4,35.833333333333336,3.6166666666666667,11.593333333333334,15.774333333333335
Luxembourg,Luxembourg,2025,7,18.825806451612905,3.6863799283154126,101625.80645161291,0.09870967741935484,69.64516129032258,32.25806451612903,2.838709677419355,14.113709677419354,18.28516129032258
Luxembourg,Luxembourg,2025,8,17.580645161290324,3.3781362007168463,101735.48387096774,0.04387096774193549,74.35483870967742,24.193548387096776,2.0387096774193547,14.8,21.09
Luxembourg,Luxembourg,2025,9,12.71,4.042592592592593,101776.66666666667,0.211,91.9,50.833333333333336,0.8133333333333332,11.5265,14.761
Luxembourg,Luxembourg,2025,10,9.3,4.325268817204301,101570.96774193548,0.07290322580645162,91.6774193548387,55.96774193548387,0.24838709677419354,10.853225806451613,13.066129032258065
Luxembourg,Luxembourg,2025,11,4.6866666666666665,2.6333333333333333,101296.66666666667,0.045000000000000005,93.86666666666666,47.0,0.04000000000000001,11.44,13.693333333333333
Luxembourg,Luxembourg,2025,12,3.393548387096774,2.8951612903225805,101748.3870967742,0.031290322580645166,92.3225806451613,56.45161290322581,0.0,13.182258064516128,15.908064516129032
Luxembourg,Luxembourg,2026,1,0.66,3.577777777777778,100566.66666666667,0.08800000000000001,95.6,69.66666666666667,0.0,14.110000000000001,16.176666666666666
